form;field_id;description_en;method;relevant_charge_card;notes
A1;120/06;Foreign banks total (121 + 123) — discount credit;calculate;Y;
A1;120/07;Foreign banks total (121 + 123) — bills held;calculate;Y;
A1;120/08;Foreign banks total (121 + 123) — fiduciary loans;calculate;Y;
A1;120/09;Foreign banks total (121 + 123) — central bank balances;calculate;Y;
A1;120/10;Foreign banks total (121 + 123) — syndicated (memo, in cols 05+07);calculate;Y;
A2;111/01;Domestic banks excl. 113/151/114 — overnight;input;Y;
A2;111/02;Domestic banks excl. 113/151/114 — ≤1yr;input;Y;
A2;111/03;Domestic banks excl. 113/151/114 — >1yr ≤2yr;input;Y;
A2;111/04;Domestic banks excl. 113/151/114 — >2yr;input;Y;
A2;111/05;Domestic banks excl. 113/151/114 — total cols 01-04;input;Y;
A2;111/07;Domestic banks excl. 113/151/114 — savings bonds;input;Y;
A2;111/08;Domestic banks excl. 113/151/114 — rediscounted bills;input;Y;
A2;111/09;Domestic banks excl. 113/151/114 — liabilities on bills;input;Y;
A2;111/10;Domestic banks excl. 113/151/114 — own acceptances;input;Y;
A2;111/11;Domestic banks excl. 113/151/114 — fiduciary;input;Y;
A2;111/12;Domestic banks excl. 113/151/114 — subordinated;input;Y;
A2;113/01;Landesbank/affiliated savings banks — overnight;input;N;
A2;113/02;Landesbank/affiliated savings banks — ≤1yr;input;N;
A2;113/03;Landesbank/affiliated savings banks — >1yr ≤2yr;input;N;
A2;113/04;Landesbank/affiliated savings banks — >2yr;input;N;
A2;113/05;Landesbank/affiliated savings banks — total cols 01-04;input;N;
A2;113/07;Landesbank/affiliated savings banks — savings bonds;input;N;
A2;113/08;Landesbank/affiliated savings banks — rediscounted bills;input;N;
A2;113/09;Landesbank/affiliated savings banks — liabilities on bills;input;N;
A2;113/10;Landesbank/affiliated savings banks — own acceptances;input;N;
A2;113/11;Landesbank/affiliated savings banks — fiduciary;input;N;
A2;113/12;Landesbank/affiliated savings banks — subordinated;input;N;
A2;114/01;Deutsche Bundesbank — overnight;input;Y;
A2;114/02;Deutsche Bundesbank — ≤1yr;input;Y;
A2;114/03;Deutsche Bundesbank — >1yr ≤2yr;input;Y;
A2;114/04;Deutsche Bundesbank — >2yr;input;Y;
A2;114/05;Deutsche Bundesbank — total cols 01-04;input;Y;
A2;114/07;Deutsche Bundesbank — savings bonds;input;Y;
A2;114/08;Deutsche Bundesbank — rediscounted bills;input;Y;
A2;114/09;Deutsche Bundesbank — liabilities on bills;input;Y;
A2;114/10;Deutsche Bundesbank — own acceptances;input;Y;
A2;114/11;Deutsche Bundesbank — fiduciary;input;Y;
A2;114/12;Deutsche Bundesbank — subordinated;input;Y;
A2;115/01;  of which: repos (sub 111) — overnight;sub;N;
A2;115/02;  of which: repos (sub 111) — ≤1yr;sub;N;
A2;115/03;  of which: repos (sub 111) — >1yr ≤2yr;sub;N;
A2;115/04;  of which: repos (sub 111) — >2yr;sub;N;
A2;115/05;  of which: repos (sub 111) — total cols 01-04;sub;N;
A2;115/07;  of which: repos (sub 111) — savings bonds;sub;N;
A2;115/08;  of which: repos (sub 111) — rediscounted bills;sub;N;
A2;115/09;  of which: repos (sub 111) — liabilities on bills;sub;N;
A2;115/10;  of which: repos (sub 111) — own acceptances;sub;N;
A2;115/11;  of which: repos (sub 111) — fiduciary;sub;N;
A2;115/12;  of which: repos (sub 111) — subordinated;sub;N;
A2;116/01;  of which: repos (sub 113) — overnight;sub;N;
A2;116/02;  of which: repos (sub 113) — ≤1yr;sub;N;
A2;116/03;  of which: repos (sub 113) — >1yr ≤2yr;sub;N;
A2;116/04;  of which: repos (sub 113) — >2yr;sub;N;
A2;116/05;  of which: repos (sub 113) — total cols 01-04;sub;N;
A2;116/07;  of which: repos (sub 113) — savings bonds;sub;N;
A2;116/08;  of which: repos (sub 113) — rediscounted bills;sub;N;
A2;116/09;  of which: repos (sub 113) — liabilities on bills;sub;N;
A2;116/10;  of which: repos (sub 113) — own acceptances;sub;N;
A2;116/11;  of which: repos (sub 113) — fiduciary;sub;N;
A2;116/12;  of which: repos (sub 113) — subordinated;sub;N;
A2;117/01;  of which: repos (sub 114) — overnight;sub;N;
A2;117/02;  of which: repos (sub 114) — ≤1yr;sub;N;
A2;117/03;  of which: repos (sub 114) — >1yr ≤2yr;sub;N;
A2;117/04;  of which: repos (sub 114) — >2yr;sub;N;
A2;117/05;  of which: repos (sub 114) — total cols 01-04;sub;N;
A2;117/07;  of which: repos (sub 114) — savings bonds;sub;N;
A2;117/08;  of which: repos (sub 114) — rediscounted bills;sub;N;
A2;117/09;  of which: repos (sub 114) — liabilities on bills;sub;N;
A2;117/10;  of which: repos (sub 114) — own acceptances;sub;N;
A2;117/11;  of which: repos (sub 114) — fiduciary;sub;N;
A2;117/12;  of which: repos (sub 114) — subordinated;sub;N;
A2;121/01;Banks in other euro area — overnight;input;Y;
A2;121/02;Banks in other euro area — ≤1yr;input;Y;
A2;121/03;Banks in other euro area — >1yr ≤2yr;input;Y;
A2;121/04;Banks in other euro area — >2yr;input;Y;
A2;121/05;Banks in other euro area — total cols 01-04;input;Y;
A2;121/07;Banks in other euro area — savings bonds;input;Y;
A2;121/08;Banks in other euro area — rediscounted bills;input;Y;
A2;121/09;Banks in other euro area — liabilities on bills;input;Y;
A2;121/10;Banks in other euro area — own acceptances;input;Y;
A2;121/11;Banks in other euro area — fiduciary;input;Y;
A2;121/12;Banks in other euro area — subordinated;input;Y;
A2;123/01;Banks outside euro area — overnight;input;N;
A2;123/02;Banks outside euro area — ≤1yr;input;N;
A2;123/03;Banks outside euro area — >1yr ≤2yr;input;N;
A2;123/04;Banks outside euro area — >2yr;input;N;
A2;123/05;Banks outside euro area — total cols 01-04;input;N;
A2;123/07;Banks outside euro area — savings bonds;input;N;
A2;123/08;Banks outside euro area — rediscounted bills;input;N;
A2;123/09;Banks outside euro area — liabilities on bills;input;N;
A2;123/10;Banks outside euro area — own acceptances;input;N;
A2;123/11;Banks outside euro area — fiduciary;input;N;
A2;123/12;Banks outside euro area — subordinated;input;N;
A2;124/01;  of which: repos (sub 123) — overnight;sub;N;
A2;124/02;  of which: repos (sub 123) — ≤1yr;sub;N;
A2;124/03;  of which: repos (sub 123) — >1yr ≤2yr;sub;N;
A2;124/04;  of which: repos (sub 123) — >2yr;sub;N;
A2;124/05;  of which: repos (sub 123) — total cols 01-04;sub;N;
A2;124/07;  of which: repos (sub 123) — savings bonds;sub;N;
A2;124/08;  of which: repos (sub 123) — rediscounted bills;sub;N;
A2;124/09;  of which: repos (sub 123) — liabilities on bills;sub;N;
A2;124/10;  of which: repos (sub 123) — own acceptances;sub;N;
A2;124/11;  of which: repos (sub 123) — fiduciary;sub;N;
A2;124/12;  of which: repos (sub 123) — subordinated;sub;N;
A2;131/01;  of which: central counterparties (sub 111) — overnight;sub;N;
A2;131/02;  of which: central counterparties (sub 111) — ≤1yr;sub;N;
A2;131/03;  of which: central counterparties (sub 111) — >1yr ≤2yr;sub;N;
A2;131/04;  of which: central counterparties (sub 111) — >2yr;sub;N;
A2;131/05;  of which: central counterparties (sub 111) — total cols 01-04;sub;N;
A2;131/07;  of which: central counterparties (sub 111) — savings bonds;sub;N;
A2;131/08;  of which: central counterparties (sub 111) — rediscounted bills;sub;N;
A2;131/09;  of which: central counterparties (sub 111) — liabilities on bills;sub;N;
A2;131/10;  of which: central counterparties (sub 111) — own acceptances;sub;N;
A2;131/11;  of which: central counterparties (sub 111) — fiduciary;sub;N;
A2;131/12;  of which: central counterparties (sub 111) — subordinated;sub;N;
A2;132/01;  of which: central counterparties (sub 113) — overnight;sub;N;
A2;132/02;  of which: central counterparties (sub 113) — ≤1yr;sub;N;
A2;132/03;  of which: central counterparties (sub 113) — >1yr ≤2yr;sub;N;
A2;132/04;  of which: central counterparties (sub 113) — >2yr;sub;N;
A2;132/05;  of which: central counterparties (sub 113) — total cols 01-04;sub;N;
A2;132/07;  of which: central counterparties (sub 113) — savings bonds;sub;N;
A2;132/08;  of which: central counterparties (sub 113) — rediscounted bills;sub;N;
A2;132/09;  of which: central counterparties (sub 113) — liabilities on bills;sub;N;
A2;132/10;  of which: central counterparties (sub 113) — own acceptances;sub;N;
A2;132/11;  of which: central counterparties (sub 113) — fiduciary;sub;N;
A2;132/12;  of which: central counterparties (sub 113) — subordinated;sub;N;
A2;133/01;  of which: central counterparties (sub 121) — overnight;sub;N;
A2;133/02;  of which: central counterparties (sub 121) — ≤1yr;sub;N;
A2;133/03;  of which: central counterparties (sub 121) — >1yr ≤2yr;sub;N;
A2;133/04;  of which: central counterparties (sub 121) — >2yr;sub;N;
A2;133/05;  of which: central counterparties (sub 121) — total cols 01-04;sub;N;
A2;133/07;  of which: central counterparties (sub 121) — savings bonds;sub;N;
A2;133/08;  of which: central counterparties (sub 121) — rediscounted bills;sub;N;
A2;133/09;  of which: central counterparties (sub 121) — liabilities on bills;sub;N;
A2;133/10;  of which: central counterparties (sub 121) — own acceptances;sub;N;
A2;133/11;  of which: central counterparties (sub 121) — fiduciary;sub;N;
A2;133/12;  of which: central counterparties (sub 121) — subordinated;sub;N;
A2;134/01;  of which: central counterparties (sub 123) — overnight;sub;N;
A2;134/02;  of which: central counterparties (sub 123) — ≤1yr;sub;N;
A2;134/03;  of which: central counterparties (sub 123) — >1yr ≤2yr;sub;N;
A2;134/04;  of which: central counterparties (sub 123) — >2yr;sub;N;
A2;134/05;  of which: central counterparties (sub 123) — total cols 01-04;sub;N;
A2;134/07;  of which: central counterparties (sub 123) — savings bonds;sub;N;
A2;134/08;  of which: central counterparties (sub 123) — rediscounted bills;sub;N;
A2;134/09;  of which: central counterparties (sub 123) — liabilities on bills;sub;N;
A2;134/10;  of which: central counterparties (sub 123) — own acceptances;sub;N;
A2;134/11;  of which: central counterparties (sub 123) — fiduciary;sub;N;
A2;134/12;  of which: central counterparties (sub 123) — subordinated;sub;N;
A2;141/01;  of which: group members (sub 111) — overnight;sub;N;
A2;141/02;  of which: group members (sub 111) — ≤1yr;sub;N;
A2;141/03;  of which: group members (sub 111) — >1yr ≤2yr;sub;N;
A2;141/04;  of which: group members (sub 111) — >2yr;sub;N;
A2;141/05;  of which: group members (sub 111) — total cols 01-04;sub;N;
A2;141/07;  of which: group members (sub 111) — savings bonds;sub;N;
A2;141/08;  of which: group members (sub 111) — rediscounted bills;sub;N;
A2;141/09;  of which: group members (sub 111) — liabilities on bills;sub;N;
A2;141/10;  of which: group members (sub 111) — own acceptances;sub;N;
A2;141/11;  of which: group members (sub 111) — fiduciary;sub;N;
A2;141/12;  of which: group members (sub 111) — subordinated;sub;N;
A2;142/01;  of which: group members (sub 113) — overnight;sub;N;
A2;142/02;  of which: group members (sub 113) — ≤1yr;sub;N;
A2;142/03;  of which: group members (sub 113) — >1yr ≤2yr;sub;N;
A2;142/04;  of which: group members (sub 113) — >2yr;sub;N;
A2;142/05;  of which: group members (sub 113) — total cols 01-04;sub;N;
A2;142/07;  of which: group members (sub 113) — savings bonds;sub;N;
A2;142/08;  of which: group members (sub 113) — rediscounted bills;sub;N;
A2;142/09;  of which: group members (sub 113) — liabilities on bills;sub;N;
A2;142/10;  of which: group members (sub 113) — own acceptances;sub;N;
A2;142/11;  of which: group members (sub 113) — fiduciary;sub;N;
A2;142/12;  of which: group members (sub 113) — subordinated;sub;N;
A2;143/01;  of which: group members (sub 121) — overnight;sub;N;
A2;143/02;  of which: group members (sub 121) — ≤1yr;sub;N;
A2;143/03;  of which: group members (sub 121) — >1yr ≤2yr;sub;N;
A2;143/04;  of which: group members (sub 121) — >2yr;sub;N;
A2;143/05;  of which: group members (sub 121) — total cols 01-04;sub;N;
A2;143/07;  of which: group members (sub 121) — savings bonds;sub;N;
A2;143/08;  of which: group members (sub 121) — rediscounted bills;sub;N;
A2;143/09;  of which: group members (sub 121) — liabilities on bills;sub;N;
A2;143/10;  of which: group members (sub 121) — own acceptances;sub;N;
A2;143/11;  of which: group members (sub 121) — fiduciary;sub;N;
A2;143/12;  of which: group members (sub 121) — subordinated;sub;N;
A2;144/01;  of which: group members (sub 123) — overnight;sub;N;
A2;144/02;  of which: group members (sub 123) — ≤1yr;sub;N;
A2;144/03;  of which: group members (sub 123) — >1yr ≤2yr;sub;N;
A2;144/04;  of which: group members (sub 123) — >2yr;sub;N;
A2;144/05;  of which: group members (sub 123) — total cols 01-04;sub;N;
A2;144/07;  of which: group members (sub 123) — savings bonds;sub;N;
A2;144/08;  of which: group members (sub 123) — rediscounted bills;sub;N;
A2;144/09;  of which: group members (sub 123) — liabilities on bills;sub;N;
A2;144/10;  of which: group members (sub 123) — own acceptances;sub;N;
A2;144/11;  of which: group members (sub 123) — fiduciary;sub;N;
A2;144/12;  of which: group members (sub 123) — subordinated;sub;N;
A2;151/01;Money market funds (MFIs) — overnight;input;N;
A2;151/02;Money market funds (MFIs) — ≤1yr;input;N;
A2;151/03;Money market funds (MFIs) — >1yr ≤2yr;input;N;
A2;151/04;Money market funds (MFIs) — >2yr;input;N;
A2;151/05;Money market funds (MFIs) — total cols 01-04;input;N;
A2;151/07;Money market funds (MFIs) — savings bonds;input;N;
A2;151/08;Money market funds (MFIs) — rediscounted bills;input;N;
A2;151/09;Money market funds (MFIs) — liabilities on bills;input;N;
A2;151/10;Money market funds (MFIs) — own acceptances;input;N;
A2;151/11;Money market funds (MFIs) — fiduciary;input;N;
A2;151/12;Money market funds (MFIs) — subordinated;input;N;
A2;152/01;  of which: denominated in euro (sub 151) — overnight;sub;N;
A2;152/02;  of which: denominated in euro (sub 151) — ≤1yr;sub;N;
A2;152/03;  of which: denominated in euro (sub 151) — >1yr ≤2yr;sub;N;
A2;152/04;  of which: denominated in euro (sub 151) — >2yr;sub;N;
A2;152/05;  of which: denominated in euro (sub 151) — total cols 01-04;sub;N;
A2;152/07;  of which: denominated in euro (sub 151) — savings bonds;sub;N;
A2;152/08;  of which: denominated in euro (sub 151) — rediscounted bills;sub;N;
A2;152/09;  of which: denominated in euro (sub 151) — liabilities on bills;sub;N;
A2;152/10;  of which: denominated in euro (sub 151) — own acceptances;sub;N;
A2;152/11;  of which: denominated in euro (sub 151) — fiduciary;sub;N;
A2;152/12;  of which: denominated in euro (sub 151) — subordinated;sub;N;
A2;154/01;  of which: Central banks other euro area (sub 121) — overnight;sub;N;
A2;154/02;  of which: Central banks other euro area (sub 121) — ≤1yr;sub;N;
A2;154/03;  of which: Central banks other euro area (sub 121) — >1yr ≤2yr;sub;N;
A2;154/04;  of which: Central banks other euro area (sub 121) — >2yr;sub;N;
A2;154/05;  of which: Central banks other euro area (sub 121) — total cols 01-04;sub;N;
A2;154/07;  of which: Central banks other euro area (sub 121) — savings bonds;sub;N;
A2;154/08;  of which: Central banks other euro area (sub 121) — rediscounted bills;sub;N;
A2;154/09;  of which: Central banks other euro area (sub 121) — liabilities on bills;sub;N;
A2;154/10;  of which: Central banks other euro area (sub 121) — own acceptances;sub;N;
A2;154/11;  of which: Central banks other euro area (sub 121) — fiduciary;sub;N;
A2;154/12;  of which: Central banks other euro area (sub 121) — subordinated;sub;N;
A2;161/01;  of which: denominated in euro (sub 121) — overnight;sub;N;
A2;161/02;  of which: denominated in euro (sub 121) — ≤1yr;sub;N;
A2;161/03;  of which: denominated in euro (sub 121) — >1yr ≤2yr;sub;N;
A2;161/04;  of which: denominated in euro (sub 121) — >2yr;sub;N;
A2;161/05;  of which: denominated in euro (sub 121) — total cols 01-04;sub;N;
A2;161/07;  of which: denominated in euro (sub 121) — savings bonds;sub;N;
A2;161/08;  of which: denominated in euro (sub 121) — rediscounted bills;sub;N;
A2;161/09;  of which: denominated in euro (sub 121) — liabilities on bills;sub;N;
A2;161/10;  of which: denominated in euro (sub 121) — own acceptances;sub;N;
A2;161/11;  of which: denominated in euro (sub 121) — fiduciary;sub;N;
A2;161/12;  of which: denominated in euro (sub 121) — subordinated;sub;N;
A2;162/01;  of which: repos (sub 154) — overnight;sub;N;
A2;162/02;  of which: repos (sub 154) — ≤1yr;sub;N;
A2;162/03;  of which: repos (sub 154) — >1yr ≤2yr;sub;N;
A2;162/04;  of which: repos (sub 154) — >2yr;sub;N;
A2;162/05;  of which: repos (sub 154) — total cols 01-04;sub;N;
A2;162/07;  of which: repos (sub 154) — savings bonds;sub;N;
A2;162/08;  of which: repos (sub 154) — rediscounted bills;sub;N;
A2;162/09;  of which: repos (sub 154) — liabilities on bills;sub;N;
A2;162/10;  of which: repos (sub 154) — own acceptances;sub;N;
A2;162/11;  of which: repos (sub 154) — fiduciary;sub;N;
A2;162/12;  of which: repos (sub 154) — subordinated;sub;N;
A2;163/01;  of which: period-of-notice liabilities (sub 154) — overnight;sub;N;
A2;163/02;  of which: period-of-notice liabilities (sub 154) — ≤1yr;sub;N;
A2;163/03;  of which: period-of-notice liabilities (sub 154) — >1yr ≤2yr;sub;N;
A2;163/04;  of which: period-of-notice liabilities (sub 154) — >2yr;sub;N;
A2;163/05;  of which: period-of-notice liabilities (sub 154) — total cols 01-04;sub;N;
A2;163/07;  of which: period-of-notice liabilities (sub 154) — savings bonds;sub;N;
A2;163/08;  of which: period-of-notice liabilities (sub 154) — rediscounted bills;sub;N;
A2;163/09;  of which: period-of-notice liabilities (sub 154) — liabilities on bills;sub;N;
A2;163/10;  of which: period-of-notice liabilities (sub 154) — own acceptances;sub;N;
A2;163/11;  of which: period-of-notice liabilities (sub 154) — fiduciary;sub;N;
A2;163/12;  of which: period-of-notice liabilities (sub 154) — subordinated;sub;N;
A2;164/01;  of which: Central banks outside euro area (sub 123) — overnight;sub;N;
A2;164/02;  of which: Central banks outside euro area (sub 123) — ≤1yr;sub;N;
A2;164/03;  of which: Central banks outside euro area (sub 123) — >1yr ≤2yr;sub;N;
A2;164/04;  of which: Central banks outside euro area (sub 123) — >2yr;sub;N;
A2;164/05;  of which: Central banks outside euro area (sub 123) — total cols 01-04;sub;N;
A2;164/07;  of which: Central banks outside euro area (sub 123) — savings bonds;sub;N;
A2;164/08;  of which: Central banks outside euro area (sub 123) — rediscounted bills;sub;N;
A2;164/09;  of which: Central banks outside euro area (sub 123) — liabilities on bills;sub;N;
A2;164/10;  of which: Central banks outside euro area (sub 123) — own acceptances;sub;N;
A2;164/11;  of which: Central banks outside euro area (sub 123) — fiduciary;sub;N;
A2;164/12;  of which: Central banks outside euro area (sub 123) — subordinated;sub;N;
A2;166/01;  of which: denominated in euro (sub 154) — overnight;sub;N;
A2;166/02;  of which: denominated in euro (sub 154) — ≤1yr;sub;N;
A2;166/03;  of which: denominated in euro (sub 154) — >1yr ≤2yr;sub;N;
A2;166/04;  of which: denominated in euro (sub 154) — >2yr;sub;N;
A2;166/05;  of which: denominated in euro (sub 154) — total cols 01-04;sub;N;
A2;166/07;  of which: denominated in euro (sub 154) — savings bonds;sub;N;
A2;166/08;  of which: denominated in euro (sub 154) — rediscounted bills;sub;N;
A2;166/09;  of which: denominated in euro (sub 154) — liabilities on bills;sub;N;
A2;166/10;  of which: denominated in euro (sub 154) — own acceptances;sub;N;
A2;166/11;  of which: denominated in euro (sub 154) — fiduciary;sub;N;
A2;166/12;  of which: denominated in euro (sub 154) — subordinated;sub;N;
A2;167/01;  of which: repos denom. euro (sub 154) — overnight;sub;N;
A2;167/02;  of which: repos denom. euro (sub 154) — ≤1yr;sub;N;
A2;167/03;  of which: repos denom. euro (sub 154) — >1yr ≤2yr;sub;N;
A2;167/04;  of which: repos denom. euro (sub 154) — >2yr;sub;N;
A2;167/05;  of which: repos denom. euro (sub 154) — total cols 01-04;sub;N;
A2;167/07;  of which: repos denom. euro (sub 154) — savings bonds;sub;N;
A2;167/08;  of which: repos denom. euro (sub 154) — rediscounted bills;sub;N;
A2;167/09;  of which: repos denom. euro (sub 154) — liabilities on bills;sub;N;
A2;167/10;  of which: repos denom. euro (sub 154) — own acceptances;sub;N;
A2;167/11;  of which: repos denom. euro (sub 154) — fiduciary;sub;N;
A2;167/12;  of which: repos denom. euro (sub 154) — subordinated;sub;N;
A2;168/01;  of which: notice liabilities denom. euro (sub 154) — overnight;sub;N;
A2;168/02;  of which: notice liabilities denom. euro (sub 154) — ≤1yr;sub;N;
A2;168/03;  of which: notice liabilities denom. euro (sub 154) — >1yr ≤2yr;sub;N;
A2;168/04;  of which: notice liabilities denom. euro (sub 154) — >2yr;sub;N;
A2;168/05;  of which: notice liabilities denom. euro (sub 154) — total cols 01-04;sub;N;
A2;168/07;  of which: notice liabilities denom. euro (sub 154) — savings bonds;sub;N;
A2;168/08;  of which: notice liabilities denom. euro (sub 154) — rediscounted bills;sub;N;
A2;168/09;  of which: notice liabilities denom. euro (sub 154) — liabilities on bills;sub;N;
A2;168/10;  of which: notice liabilities denom. euro (sub 154) — own acceptances;sub;N;
A2;168/11;  of which: notice liabilities denom. euro (sub 154) — fiduciary;sub;N;
A2;168/12;  of which: notice liabilities denom. euro (sub 154) — subordinated;sub;N;
A2;171/01;  of which: money market funds (sub 121) — overnight;sub;N;
A2;171/02;  of which: money market funds (sub 121) — ≤1yr;sub;N;
A2;171/03;  of which: money market funds (sub 121) — >1yr ≤2yr;sub;N;
A2;171/04;  of which: money market funds (sub 121) — >2yr;sub;N;
A2;171/05;  of which: money market funds (sub 121) — total cols 01-04;sub;N;
A2;171/07;  of which: money market funds (sub 121) — savings bonds;sub;N;
A2;171/08;  of which: money market funds (sub 121) — rediscounted bills;sub;N;
A2;171/09;  of which: money market funds (sub 121) — liabilities on bills;sub;N;
A2;171/10;  of which: money market funds (sub 121) — own acceptances;sub;N;
A2;171/11;  of which: money market funds (sub 121) — fiduciary;sub;N;
A2;171/12;  of which: money market funds (sub 121) — subordinated;sub;N;
A2;172/01;  of which: MMFs denominated in euro (sub 171) — overnight;sub;N;
A2;172/02;  of which: MMFs denominated in euro (sub 171) — ≤1yr;sub;N;
A2;172/03;  of which: MMFs denominated in euro (sub 171) — >1yr ≤2yr;sub;N;
A2;172/04;  of which: MMFs denominated in euro (sub 171) — >2yr;sub;N;
A2;172/05;  of which: MMFs denominated in euro (sub 171) — total cols 01-04;sub;N;
A2;172/07;  of which: MMFs denominated in euro (sub 171) — savings bonds;sub;N;
A2;172/08;  of which: MMFs denominated in euro (sub 171) — rediscounted bills;sub;N;
A2;172/09;  of which: MMFs denominated in euro (sub 171) — liabilities on bills;sub;N;
A2;172/10;  of which: MMFs denominated in euro (sub 171) — own acceptances;sub;N;
A2;172/11;  of which: MMFs denominated in euro (sub 171) — fiduciary;sub;N;
A2;172/12;  of which: MMFs denominated in euro (sub 171) — subordinated;sub;N;
A2;173/01;  of which: denominated in euro (sub 111) — overnight;sub;N;
A2;173/02;  of which: denominated in euro (sub 111) — ≤1yr;sub;N;
A2;173/03;  of which: denominated in euro (sub 111) — >1yr ≤2yr;sub;N;
A2;173/04;  of which: denominated in euro (sub 111) — >2yr;sub;N;
A2;173/05;  of which: denominated in euro (sub 111) — total cols 01-04;sub;N;
A2;173/07;  of which: denominated in euro (sub 111) — savings bonds;sub;N;
A2;173/08;  of which: denominated in euro (sub 111) — rediscounted bills;sub;N;
A2;173/09;  of which: denominated in euro (sub 111) — liabilities on bills;sub;N;
A2;173/10;  of which: denominated in euro (sub 111) — own acceptances;sub;N;
A2;173/11;  of which: denominated in euro (sub 111) — fiduciary;sub;N;
A2;173/12;  of which: denominated in euro (sub 111) — subordinated;sub;N;
A2;174/01;  of which: denominated in euro (sub 113) — overnight;sub;N;
A2;174/02;  of which: denominated in euro (sub 113) — ≤1yr;sub;N;
A2;174/03;  of which: denominated in euro (sub 113) — >1yr ≤2yr;sub;N;
A2;174/04;  of which: denominated in euro (sub 113) — >2yr;sub;N;
A2;174/05;  of which: denominated in euro (sub 113) — total cols 01-04;sub;N;
A2;174/07;  of which: denominated in euro (sub 113) — savings bonds;sub;N;
A2;174/08;  of which: denominated in euro (sub 113) — rediscounted bills;sub;N;
A2;174/09;  of which: denominated in euro (sub 113) — liabilities on bills;sub;N;
A2;174/10;  of which: denominated in euro (sub 113) — own acceptances;sub;N;
A2;174/11;  of which: denominated in euro (sub 113) — fiduciary;sub;N;
A2;174/12;  of which: denominated in euro (sub 113) — subordinated;sub;N;
A2;175/01;  of which: denominated in euro (sub 114) — overnight;sub;N;
A2;175/02;  of which: denominated in euro (sub 114) — ≤1yr;sub;N;
A2;175/03;  of which: denominated in euro (sub 114) — >1yr ≤2yr;sub;N;
A2;175/04;  of which: denominated in euro (sub 114) — >2yr;sub;N;
A2;175/05;  of which: denominated in euro (sub 114) — total cols 01-04;sub;N;
A2;175/07;  of which: denominated in euro (sub 114) — savings bonds;sub;N;
A2;175/08;  of which: denominated in euro (sub 114) — rediscounted bills;sub;N;
A2;175/09;  of which: denominated in euro (sub 114) — liabilities on bills;sub;N;
A2;175/10;  of which: denominated in euro (sub 114) — own acceptances;sub;N;
A2;175/11;  of which: denominated in euro (sub 114) — fiduciary;sub;N;
A2;175/12;  of which: denominated in euro (sub 114) — subordinated;sub;N;
A2;177/01;  of which: repos denom. euro (sub 114) — overnight;sub;N;
A2;177/02;  of which: repos denom. euro (sub 114) — ≤1yr;sub;N;
A2;177/03;  of which: repos denom. euro (sub 114) — >1yr ≤2yr;sub;N;
A2;177/04;  of which: repos denom. euro (sub 114) — >2yr;sub;N;
A2;177/05;  of which: repos denom. euro (sub 114) — total cols 01-04;sub;N;
A2;177/07;  of which: repos denom. euro (sub 114) — savings bonds;sub;N;
A2;177/08;  of which: repos denom. euro (sub 114) — rediscounted bills;sub;N;
A2;177/09;  of which: repos denom. euro (sub 114) — liabilities on bills;sub;N;
A2;177/10;  of which: repos denom. euro (sub 114) — own acceptances;sub;N;
A2;177/11;  of which: repos denom. euro (sub 114) — fiduciary;sub;N;
A2;177/12;  of which: repos denom. euro (sub 114) — subordinated;sub;N;
A2;178/01;  of which: notice liabilities (sub 114) — overnight;sub;N;
A2;178/02;  of which: notice liabilities (sub 114) — ≤1yr;sub;N;
A2;178/03;  of which: notice liabilities (sub 114) — >1yr ≤2yr;sub;N;
A2;178/04;  of which: notice liabilities (sub 114) — >2yr;sub;N;
A2;178/05;  of which: notice liabilities (sub 114) — total cols 01-04;sub;N;
A2;178/07;  of which: notice liabilities (sub 114) — savings bonds;sub;N;
A2;178/08;  of which: notice liabilities (sub 114) — rediscounted bills;sub;N;
A2;178/09;  of which: notice liabilities (sub 114) — liabilities on bills;sub;N;
A2;178/10;  of which: notice liabilities (sub 114) — own acceptances;sub;N;
A2;178/11;  of which: notice liabilities (sub 114) — fiduciary;sub;N;
A2;178/12;  of which: notice liabilities (sub 114) — subordinated;sub;N;
A2;179/01;  of which: notice liabilities denom. euro (sub 114) — overnight;sub;N;
A2;179/02;  of which: notice liabilities denom. euro (sub 114) — ≤1yr;sub;N;
A2;179/03;  of which: notice liabilities denom. euro (sub 114) — >1yr ≤2yr;sub;N;
A2;179/04;  of which: notice liabilities denom. euro (sub 114) — >2yr;sub;N;
A2;179/05;  of which: notice liabilities denom. euro (sub 114) — total cols 01-04;sub;N;
A2;179/07;  of which: notice liabilities denom. euro (sub 114) — savings bonds;sub;N;
A2;179/08;  of which: notice liabilities denom. euro (sub 114) — rediscounted bills;sub;N;
A2;179/09;  of which: notice liabilities denom. euro (sub 114) — liabilities on bills;sub;N;
A2;179/10;  of which: notice liabilities denom. euro (sub 114) — own acceptances;sub;N;
A2;179/11;  of which: notice liabilities denom. euro (sub 114) — fiduciary;sub;N;
A2;179/12;  of which: notice liabilities denom. euro (sub 114) — subordinated;sub;N;
A2;200/01;Memo: line 123 with notice periods — overnight;sub;N;
A2;200/02;Memo: line 123 with notice periods — ≤1yr;sub;N;
A2;200/03;Memo: line 123 with notice periods — >1yr ≤2yr;sub;N;
A2;200/04;Memo: line 123 with notice periods — >2yr;sub;N;
A2;200/05;Memo: line 123 with notice periods — total cols 01-04;sub;N;
